USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 103276  9072 ?        Ss   01:34   0:02 /sbin/init auto noprompt
root           2  0.0  0.0      0     0 ?        S    01:34   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   01:34   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   01:34   0:00 [rcu_par_gp]
root           6  0.0  0.0      0     0 ?        I<   01:34   0:00 [kworker/0:0H-events_highpri]
root           9  0.0  0.0      0     0 ?        I<   01:34   0:00 [mm_percpu_wq]
root          10  0.0  0.0      0     0 ?        S    01:34   0:00 [rcu_tasks_rude_]
root          11  0.0  0.0      0     0 ?        S    01:34   0:00 [rcu_tasks_trace]
root          12  0.0  0.0      0     0 ?        S    01:34   0:01 [ksoftirqd/0]
root          13  0.0  0.0      0     0 ?        I    01:34   0:01 [rcu_sched]
root          14  0.0  0.0      0     0 ?        S    01:34   0:00 [migration/0]
root          15  0.0  0.0      0     0 ?        S    01:34   0:00 [idle_inject/0]
root          16  0.0  0.0      0     0 ?        S    01:34   0:00 [cpuhp/0]
root          17  0.0  0.0      0     0 ?        S    01:34   0:00 [cpuhp/1]
root          18  0.0  0.0      0     0 ?        S    01:34   0:00 [idle_inject/1]
root          19  0.0  0.0      0     0 ?        S    01:34   0:00 [migration/1]
root          20  0.0  0.0      0     0 ?        S    01:34   0:00 [ksoftirqd/1]
root          22  0.0  0.0      0     0 ?        I<   01:34   0:00 [kworker/1:0H-events_highpri]
root          23  0.0  0.0      0     0 ?        S    01:34   0:00 [kdevtmpfs]
root          24  0.0  0.0      0     0 ?        I<   01:34   0:00 [netns]
root          25  0.0  0.0      0     0 ?        I<   01:34   0:00 [inet_frag_wq]
root          26  0.0  0.0      0     0 ?        S    01:34   0:00 [kauditd]
root          28  0.0  0.0      0     0 ?        S    01:34   0:00 [khungtaskd]
root          29  0.0  0.0      0     0 ?        S    01:34   0:00 [oom_reaper]
root          30  0.0  0.0      0     0 ?        I<   01:34   0:00 [writeback]
root          31  0.0  0.0      0     0 ?        S    01:34   0:00 [kcompactd0]
root          32  0.0  0.0      0     0 ?        SN   01:34   0:00 [ksmd]
root          33  0.0  0.0      0     0 ?        SN   01:34   0:00 [khugepaged]
root          80  0.0  0.0      0     0 ?        I<   01:34   0:00 [kintegrityd]
root          81  0.0  0.0      0     0 ?        I<   01:34   0:00 [kblockd]
root          82  0.0  0.0      0     0 ?        I<   01:34   0:00 [blkcg_punt_bio]
root          83  0.0  0.0      0     0 ?        I<   01:34   0:00 [tpm_dev_wq]
root          84  0.0  0.0      0     0 ?        I<   01:34   0:00 [ata_sff]
root          85  0.0  0.0      0     0 ?        I<   01:34   0:00 [md]
root          86  0.0  0.0      0     0 ?        I<   01:34   0:00 [edac-poller]
root          87  0.0  0.0      0     0 ?        I<   01:34   0:00 [devfreq_wq]
root          88  0.0  0.0      0     0 ?        S    01:34   0:00 [watchdogd]
root          90  0.0  0.0      0     0 ?        I<   01:34   0:01 [kworker/0:1H-kblockd]
root          92  0.0  0.0      0     0 ?        S    01:34   0:03 [kswapd0]
root          93  0.0  0.0      0     0 ?        S    01:34   0:00 [ecryptfs-kthrea]
root          95  0.0  0.0      0     0 ?        I<   01:34   0:00 [kthrotld]
root          96  0.0  0.0      0     0 ?        S    01:34   0:00 [irq/24-pciehp]
root          97  0.0  0.0      0     0 ?        S    01:34   0:00 [irq/25-pciehp]
root          98  0.0  0.0      0     0 ?        S    01:34   0:00 [irq/26-pciehp]
